분류1,분류2,국가명
America Total,N. America Sub-Total,Canada
America Total,N. America Sub-Total,U.S.A.
America Total,N. America Sub-Total,Mexico
Europe Total,EU Sub-Total,Austria
Europe Total,EU Sub-Total,Belgium
Europe Total,EU Sub-Total,Finland
Europe Total,EU Sub-Total,France
Europe Total,EU Sub-Total,Germany
Europe Total,EU Sub-Total,Italy
Europe Total,EU Sub-Total,Netherlands
Europe Total,EU Sub-Total,Portugal
Europe Total,EU Sub-Total,Spain
Europe Total,EU Sub-Total,Sweden
Europe Total,EU Sub-Total,U.K.
Europe Total,EU Sub-Total,Czech Rep.
Europe Total,EU Sub-Total,Hungary
Europe Total,EU Sub-Total,Poland
Europe Total,EU Sub-Total,Romania
Europe Total,EU Sub-Total,Slovak Rep.
Europe Total,EU Sub-Total,Slovenia
Europe Total,Other Europe Sub-Total,Russia
Europe Total,Other Europe Sub-Total,Serbia
Europe Total,Other Europe Sub-Total,Ukraine
Europe Total,Other Europe Sub-Total,Uzbekistan
Europe Total,Other Europe Sub-Total,Others
Asia Total,Asia & Pacific Sub-Total,China
Asia Total,Asia & Pacific Sub-Total,India
Asia Total,Asia & Pacific Sub-Total,Indonesia
Asia Total,Asia & Pacific Sub-Total,Japan
Asia Total,Asia & Pacific Sub-Total,Korea
Asia Total,Asia & Pacific Sub-Total,Malaysia
Asia Total,Asia & Pacific Sub-Total,Pakistan
Asia Total,Asia & Pacific Sub-Total,Philippines
Asia Total,Asia & Pacific Sub-Total,Taiwan
Asia Total,Asia & Pacific Sub-Total,Thailand
Asia Total,Asia & Pacific Sub-Total,Vietnam
Asia Total,Asia & Pacific Sub-Total,Australia
America Total,South America Sub-Total,Argentina
America Total,South America Sub-Total,Brazil
America Total,South America Sub-Total,Chile
America Total,South America Sub-Total,Colombia
America Total,South America Sub-Total,Ecuador
America Total,South America Sub-Total,Venezuela
America Total,South America Sub-Total,Others
Asia Total,Middle East Sub-Total,Egypt
Asia Total,Middle East Sub-Total,Iran
Asia Total,Middle East Sub-Total,Turkey
Africa Total,Africa Sub-Total,Morocco
Africa Total,Africa Sub-Total,Nigeria
Africa Total,Africa Sub-Total,S. Africa Rep.
Africa Total,Africa Sub-Total,Others
World Total,World Total,World Total
